Accessible,1,1
Active,1,1
Adaptable,1,1
Admirable,1,1
Adventurous,1,1
Agreeable,1,1
Attentive,1,1
Allocentric,1,1
Amiable,1,1
Anticipative,1,1
Appreciative,1,1
Articulate,1,1
Aspiring,1,1
Athletic,1,1
Attractive,1,1
Balanced,1,1
Benevolent,1,1
Brilliant,1,1
Calm,1,1
Capable,1,1
Captivating,1,1
Caring,1,1
Challenging,1,1
Charismatic,1,1
Charming,1,1
Cheerful,1,1
Clean,1,1
Clear-headed,1,1
Clever,1,1
Colorful,1,1
Companionly,1,1
Compassionate,1,1
Conciliatory,1,1
Confident,1,1
Conscientious,1,1
Considerate,1,1
Constant,1,1
Contemplative,1,1
Cooperative,1,1
Courageous,1,1
Courteous,1,1
Creative,1,1
Cultured,1,1
Curious,1,1
Daring,1,1
Debonair,1,1
Decent,1,1
Decisive,1,1
Dedicated,1,1
Deep,1,1
Dignified,1,1
Directed,1,1
Disciplined,1,1
Discreet,1,1
Dramatic,1,1
Dutiful,1,1
Dynamic,1,1
Earnest,1,1
Ebullient,1,1
Educated,1,1
Efficient,1,1
Elegant,1,1
Eloquent,1,1
Empathetic,1,1
Energetic,1,1
Enthusiastic,1,1
Esthetic,1,1
Exciting,1,1
Extraordinary,1,1
Fair,1,1
Faithful,1,1
Farsighted,1,1
Felicific,1,1
Firm,1,1
Flexible,1,1
Focused,1,1
Forecful,1,1
Forgiving,1,1
Forthright,1,1
Freethinking,1,1
Friendly,1,1
Fun-loving,1,1
Gallant,1,1
Generous,1,1
Gentle,1,1
Genuine,1,1
Good-natured,1,1
Gracious,1,1
Hardworking,1,1
Healthy,1,1
Hearty,1,1
Helpful,1,1
Herioc,1,1
High-minded,1,1
Honest,1,1
Honorable,1,1
Humble,1,1
Humorous,1,1
Idealistic,1,1
Imaginative,1,1
Impressive,1,1
Incisive,1,1
Incorruptible,1,1
Independent,1,1
Individualistic,1,1
Innovative,1,1
Inoffensive,1,1
Insightful,1,1
Insouciant,1,1
Intelligent,1,1
Intuitive,1,1
Invulnerable,1,1
Kind,1,1
Knowledge,1,1
Leaderly,1,1
Leisurely,1,1
Liberal,1,1
Logical,1,1
Lovable,1,1
Loyal,1,1
Lyrical,1,1
Magnanimous,1,1
Many-sided,1,1
Masculine  (Manly),1,1
Mature,1,1
Methodical,1,1
Maticulous,1,1
Moderate,1,1
Modest,1,1
Multi-leveled,1,1
Neat,1,1
Nonauthoritarian,1,1
Objective,1,1
Observant,1,1
Open,1,1
Optimistic,1,1
Orderly,1,1
Organized,1,1
Original,1,1
Painstaking,1,1
Passionate,1,1
Patient,1,1
Patriotic,1,1
Peaceful,1,1
Perceptive,1,1
Perfectionist,1,1
Personable,1,1
Persuasive,1,1
Planful,1,1
Playful,1,1
Polished,1,1
Popular,1,1
Practical,1,1
Precise,1,1
Principled,1,1
Profound,1,1
Protean,1,1
Protective,1,1
Providential,1,1
Prudent,1,1
Punctual,1,1
Pruposeful,1,1
Rational,1,1
Realistic,1,1
Reflective,1,1
Relaxed,1,1
Reliable,1,1
Resourceful,1,1
Respectful,1,1
Responsible,1,1
Responsive,1,1
Reverential,1,1
Romantic,1,1
Rustic,1,1
Sage,1,1
Sane,1,1
Scholarly,1,1
Scrupulous,1,1
Secure,1,1
Selfless,1,1
Self-critical,1,1
Self-defacing,1,1
Self-denying,1,1
Self-reliant,1,1
Self-sufficent,1,1
Sensitive,1,1
Sentimental,1,1
Seraphic,1,1
Serious,1,1
Sexy,1,1
Sharing,1,1
Shrewd,1,1
Simple,1,1
Skillful,1,1
Sober,1,1
Sociable,1,1
Solid,1,1
Sophisticated,1,1
Spontaneous,1,1
Sporting,1,1
Stable,1,1
Steadfast,1,1
Steady,1,1
Stoic,1,1
Strong,1,1
Studious,1,1
Suave,1,1
Subtle,1,1
Sweet,1,1
Sympathetic,1,1
Systematic,1,1
Tasteful,1,1
Teacherly,1,1
Thorough,1,1
Tidy,1,1
Tolerant,1,1
Tractable,1,1
Trusting,1,1
Uncomplaining,1,1
Understanding,1,1
Undogmatic,1,1
Unfoolable,1,1
Upright,1,1
Urbane,1,1
Venturesome,1,1
Vivacious,1,1
Warm,1,1
Well-bred,1,1
Well-read,1,1
Well-rounded,1,1
Winning,1,1
Wise,1,1
Witty,1,1
Youthful,1,1
Absentminded,0,1
Aggressive,0,1
Ambitious,0,1
Amusing,0,1
Artful,0,1
Ascetic,0,1
Authoritarian,0,1
Big-thinking,0,1
Boyish,0,1
Breezy,0,1
Businesslike,0,1
Busy,0,1
Casual,0,1
Crebral,0,1
Chummy,0,1
Circumspect,0,1
Competitive,0,1
Complex,0,1
Confidential,0,1
Conservative,0,1
Contradictory,0,1
Crisp,0,1
Cute,0,1
Deceptive,0,1
Determined,0,1
Dominating,0,1
Dreamy,0,1
Driving,0,1
Droll,0,1
Dry,0,1
Earthy,0,1
Effeminate,0,1
Emotional,0,1
Enigmatic,0,1
Experimental,0,1
Familial,0,1
Folksy,0,1
Formal,0,1
Freewheeling,0,1
Frugal,0,1
Glamorous,0,1
Guileless,0,1
High-spirited,0,1
Huried,0,1
Hypnotic,0,1
Iconoclastic,0,1
Idiosyncratic,0,1
Impassive,0,1
Impersonal,0,1
Impressionable,0,1
Intense,0,1
Invisible,0,1
Irreligious,0,1
Irreverent,0,1
Maternal,0,1
Mellow,0,1
Modern,0,1
Moralistic,0,1
Mystical,0,1
Neutral,0,1
Noncommittal,0,1
Noncompetitive,0,1
Obedient,0,1
Old-fashined,0,1
Ordinary,0,1
Outspoken,0,1
Paternalistic,0,1
Physical,0,1
Placid,0,1
Political,0,1
Predictable,0,1
Preoccupied,0,1
Private,0,1
Progressive,0,1
Proud,0,1
Pure,0,1
Questioning,0,1
Quiet,0,1
Religious,0,1
Reserved,0,1
Restrained,0,1
Retiring,0,1
Sarcastic,0,1
Self-conscious,0,1
Sensual,0,1
Skeptical,0,1
Smooth,0,1
Soft,0,1
Solemn,0,1
Solitary,0,1
Stern,0,1
Stoiid,0,1
Strict,0,1
Stubborn,0,1
Stylish,0,1
Subjective,0,1
Surprising,0,1
Soft,0,1
Tough,0,1
Unaggressive,0,1
Unambitious,0,1
Unceremonious,0,1
Unchanging,0,1
Undemanding,0,1
Unfathomable,0,1
Unhurried,0,1
Uninhibited,0,1
Unpatriotic,0,1
Unpredicatable,0,1
Unreligious,0,1
Unsentimental,0,1
Whimsical,0,1
Abrasive,-1,1
Abrupt,-1,1
Agonizing,-1,1
Aimless,-1,1
Airy,-1,1
Aloof,-1,1
Amoral,-1,1
Angry,-1,1
Anxious,-1,1
Apathetic,-1,1
Arbitrary,-1,1
Argumentative,-1,1
Arrogantt,-1,1
Artificial,-1,1
Asocial,-1,1
Assertive,-1,1
Astigmatic,-1,1
Barbaric,-1,1
Bewildered,-1,1
Bizarre,-1,1
Bland,-1,1
Blunt,-1,1
Biosterous,-1,1
Brittle,-1,1
Brutal,-1,1
Calculating,-1,1
Callous,-1,1
Cantakerous,-1,1
Careless,-1,1
Cautious,-1,1
Charmless,-1,1
Childish,-1,1
Clumsy,-1,1
Coarse,-1,1
Cold,-1,1
Colorless,-1,1
Complacent,-1,1
Complaintive,-1,1
Compulsive,-1,1
Conceited,-1,1
Condemnatory,-1,1
Conformist,-1,1
Confused,-1,1
Contemptible,-1,1
Conventional,-1,1
Cowardly,-1,1
Crafty,-1,1
Crass,-1,1
Crazy,-1,1
Criminal,-1,1
Critical,-1,1
Crude,-1,1
Cruel,-1,1
Cynical,-1,1
Decadent,-1,1
Deceitful,-1,1
Delicate,-1,1
Demanding,-1,1
Dependent,-1,1
Desperate,-1,1
Destructive,-1,1
Devious,-1,1
Difficult,-1,1
Dirty,-1,1
Disconcerting,-1,1
Discontented,-1,1
Discouraging,-1,1
Discourteous,-1,1
Dishonest,-1,1
Disloyal,-1,1
Disobedient,-1,1
Disorderly,-1,1
Disorganized,-1,1
Disputatious,-1,1
Disrespectful,-1,1
Disruptive,-1,1
Dissolute,-1,1
Dissonant,-1,1
Distractible,-1,1
Disturbing,-1,1
Dogmatic,-1,1
Domineering,-1,1
Dull,-1,1
Easily Discouraged,-1,1
Egocentric,-1,1
Enervated,-1,1
Envious,-1,1
Erratic,-1,1
Escapist,-1,1
Excitable,-1,1
Expedient,-1,1
Extravagant,-1,1
Extreme,-1,1
Faithless,-1,1
False,-1,1
Fanatical,-1,1
Fanciful,-1,1
Fatalistic,-1,1
Fawning,-1,1
Fearful,-1,1
Fickle,-1,1
Fiery,-1,1
Fixed,-1,1
Flamboyant,-1,1
Foolish,-1,1
Forgetful,-1,1
Fraudulent,-1,1
Frightening,-1,1
Frivolous,-1,1
